Przestêpstwa bójka i pobicie wg jednostek podzia³u administracyjnego kraju - przestêpstwa stwierdzone, przestêpstwa wykryte, % wykrycia.;;;;;;;;;;;
;;;;;;;;;;;
Jednostka podzia³u administracyjnego;Rok;Przestêpstwa stwierdzone;Przestêpstwa wykryte;% wykrycia;;;;;;;
woj. zachodniopomorskie;2021;108;96;88,9;;;;;;;
woj. zachodniopomorskie;2020;126;113;89,7;;;;;;;
woj. zachodniopomorskie;2019;192;163;84,5;;;;;;;
woj. zachodniopomorskie;2018;167;141;84,4;;;;;;;
woj. zachodniopomorskie;2017;215;195;90,7;;;;;;;
woj. zachodniopomorskie;2016;202;172;84,3;;;;;;;
woj. zachodniopomorskie;2015;198;170;85,4;;;;;;;
woj. zachodniopomorskie;2014;257;213;82,6;;;;;;;
woj. zachodniopomorskie;2013;363;314;86,3;;;;;;;
woj. zachodniopomorskie;2012;591;519;87,1;;;;;;;
woj. zachodniopomorskie;2011;610;535;87,7;;;;;;;
woj. zachodniopomorskie;2010;630;549;87,0;;;;;;;
woj. zachodniopomorskie;2009;526;434;82,4;;;;;;;
woj. zachodniopomorskie;2008;685;548;79,8;;;;;;;
woj. zachodniopomorskie;2007;703;563;80,1;;;;;;;
woj. zachodniopomorskie;2006;652;520;79,6;;;;;;;
woj. zachodniopomorskie;2005;608;478;78,2;;;;;;;
woj. zachodniopomorskie;2004;681;523;76,7;;;;;;;
woj. zachodniopomorskie;2003;685;554;80,4;;;;;;;
woj. zachodniopomorskie;2002;762;610;79,8;;;;;;;
woj. zachodniopomorskie;2001;803;622;77,4;;;;;;;
woj. zachodniopomorskie;2000;746;598;79,8;;;;;;;
woj. zachodniopomorskie;1999;751;578;76,8;;;;;;;
teren dzia³ania KWP z/s w Radomiu;2021;185;156;84,3;;;;;;;
teren dzia³ania KWP z/s w Radomiu;2020;202;168;83,2;;;;;;;
teren dzia³ania KWP z/s w Radomiu;2019;251;209;83,3;;;;;;;
teren dzia³ania KWP z/s w Radomiu;2018;240;201;83,8;;;;;;;
teren dzia³ania KWP z/s w Radomiu;2017;288;241;83,7;;;;;;;
teren dzia³ania KWP z/s w Radomiu;2016;351;303;86,3;;;;;;;
teren dzia³ania KWP z/s w Radomiu;2015;290;236;81,4;;;;;;;
teren dzia³ania KWP z/s w Radomiu;2014;364;300;82,4;;;;;;;
teren dzia³ania KWP z/s w Radomiu;2013;492;400;81,1;;;;;;;
teren dzia³ania KWP z/s w Radomiu;2012;740;623;83,7;;;;;;;
teren dzia³ania KWP z/s w Radomiu;2011;831;726;87,2;;;;;;;
teren dzia³ania KWP z/s w Radomiu;2010;730;631;86,1;;;;;;;
teren dzia³ania KWP z/s w Radomiu;2009;848;700;82,4;;;;;;;
teren dzia³ania KWP z/s w Radomiu;2008;836;685;81,8;;;;;;;
teren dzia³ania KWP z/s w Radomiu;2007;880;735;83,3;;;;;;;
teren dzia³ania KWP z/s w Radomiu;2006;1 023;845;82,4;;;;;;;
teren dzia³ania KWP z/s w Radomiu;2005;965;783;81,1;;;;;;;
teren dzia³ania KWP z/s w Radomiu;2004;919;752;81,7;;;;;;;
teren dzia³ania KWP z/s w Radomiu;2003;916;755;82,3;;;;;;;
teren dzia³ania KWP z/s w Radomiu;2002;1 018;856;83,9;;;;;;;
teren dzia³ania KWP z/s w Radomiu;2001;1 109;928;83,6;;;;;;;
teren dzia³ania KWP z/s w Radomiu;2000;1 225;1 037;84,4;;;;;;;
teren dzia³ania KWP z/s w Radomiu;1999;1 158;948;81,8;;;;;;;
teren dzia³ania KSP Warszawa;2021;150;112;74,7;;;;;;;
teren dzia³ania KSP Warszawa;2020;167;126;75,4;;;;;;;
teren dzia³ania KSP Warszawa;2019;206;157;75,1;;;;;;;
